code,name,id
A08.1,Acute gastroenteropathy due to Norwalk agent,OCYYhWX81Mn
A08.2,Adenoviral enteritis,LEBVQLfaZB6
A08.3,Other viral enteritis,UvSuLNq4Hiv
A08.4,"Viral intestinal infection, unspecified",iihkhhgmqeS
A08.5,Other specified intestinal infections,mBdhhEWt2PG
A09,Other gastroenteritis and colitis of infectious and unspecified origin,F7hfqY93rFk
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,duvbJP9P1iF
A09.9,Gastroenteritis and colitis of unspecified origin,lvMajN5UZyk
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",nuHAW818D9l
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",cJ3L20S7FCN
A15.1,"Tuberculosis of lung, confirmed by culture only",JRXc65mYk4t
A15.2,"Tuberculosis of lung, confirmed histologically",JNEaYL8Mzhx
A15.3,"Tuberculosis of lung, confirmed by unspecified means",d21jXeCm9AY
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",PFWNicGhWvF
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",cmQHYjj3Ime
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",zyjLn7zgABY
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",dksjV8Q2V3o
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",IE8WsDv0N4L
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",WnwnNAt1I81
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",VKUBidm42y0
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",rT68A3XDgB0
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",S0H2cWiayU4
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",ThnDUzCguy7
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",g4QN9rnKK8e
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",nF1CpNsagvU
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",dzuzfX5KAVy
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,M0GlE6dP0vd
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",ey3RipCNqNQ
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",ntGtcgULBKE
A17,Tuberculosis of nervous system,iATOEQWRVzX
A17.0,Tuberculous meningitis,Qneh91josU4
A17.1,Meningeal tuberculoma,cp7O6OCTbyc
A17.8,Other tuberculosis of nervous system,JPCu1FQ5BzN
A17.9,"Tuberculosis of nervous system, unspecified",c2CtuyZ47El
A18,Tuberculosis of other organs,pkFt03v8m5K
A18.0,Tuberculosis of bones and joints,a23OAy2C1pJ
A18.1,Tuberculosis of genitourinary system,i6xrojAlUCY
A18.2,Tuberculous peripheral lymphadenopathy,qiBZ7DXKZKq
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",tQTMCmkbFNk
A18.4,Tuberculosis of skin and subcutaneous tissue,zUYcqSJj1fO
A18.5,Tuberculosis of eye,WJFKyNhSAU2
A18.6,Tuberculosis of ear,uSFK2ir1LGD
A18.7,Tuberculosis of adrenal glands,Sd9ZiqkRF0Y
A18.8,Tuberculosis of other specified organs,Tcq2Rd1YShc
A19,Miliary tuberculosis,qvIGCONY23K
A19.0,Acute miliary tuberculosis of a single specified site,JICGiuZWhye
A19.1,Acute miliary tuberculosis of multiple sites,EBj2JTS8QuY
A19.2,"Acute miliary tuberculosis, unspecified",VvmrKPrCdHE
A19.8,Other miliary tuberculosis,goGr7KdJsav
A19.9,"Miliary tuberculosis, unspecified",XPoWtbXJnLr
A20,Plague,GcnLteiJIqd
A20.0,Bubonic plague,B1oGfMYkI2D
A20.1,Cellulocutaneous plague,ujORHt20Ul3
A20.2,Pneumonic plague,ACmWgGfC2DB
A20.3,Plague meningitis,TpnAHeBlSuy
A20.7,Septicaemic plague,d8sTzoBrVdR
A20.8,Other forms of plague,TCprq54UA5y
A20.9,"Plague, unspecified",aUPWZL7pnWQ
A21,Tularaemia,RIPkbGg0xm6
A21.0,Ulceroglandular tularaemia,RJMq2bCujgd
A21.1,Oculoglandular tularaemia,SgOziaJWwI1
A21.2,Pulmonary tularaemia,iKAIhgjAAzT
A21.3,Gastrointestinal tularaemia,MDVU6uPLWxZ
A21.7,Generalized tularaemia,VbMimXXICFS
A21.8,Other forms of tularaemia,sGG886jLNkN
A21.9,"Tularaemia, unspecified",rfLYJvSwbLL
A22,Anthrax,XEFiklyV4U6
A22.0,Cutaneous anthrax,yMqlUotFGzC
A22.1,Pulmonary anthrax,FcYe2pXYr0c
A22.2,Gastrointestinal anthrax,jVzOGzFrFjA
A22.7,Anthrax sepsis,lhisFZ1Kbu7
A22.8,Other forms of anthrax,kAiksjoOvJu
A22.9,"Anthrax, unspecified",bKqoGU3Cl0C
A23,Brucellosis,OgnnLxikSaK
A23.0,Brucellosis due to Brucella melitensis,HQZ92qOiTJr
A23.1,Brucellosis due to Brucella abortus,qgmfjKz60vj
A23.2,Brucellosis due to Brucella suis,zedHqRrrJVX
A23.3,Brucellosis due to Brucella canis,g8zZlRaYMNC
A23.8,Other brucellosis,eue6faqeWRE
A23.9,"Brucellosis, unspecified",SXKLJDor25I
A24,Glanders and melioidosis,uax4Fa5hVlX
A24.0,Glanders,cfAy9dUZ9G2
A24.1,Acute and fulminating melioidosis,aIdQGG0oXV9
A24.2,Subacute and chronic melioidosis,DeYt1RJWEny
A24.3,Other melioidosis,gibKBs1gf3s
A24.4,"Melioidosis, unspecified",ivKPdUDkian
A25,Rat-bite fevers,g0b1yTYpLoC
A25.0,Spirillosis,IsZ8QAgk5yF
A25.1,Streptobacillosis,IgX3GVOPEt1
A25.9,"Rat-bite fever, unspecified",eL75ergLenK
A26,Erysipeloid,cNBqOowcQFX
A26.0,Cutaneous erysipeloid,UYOB6Pv7Gvp
A26.7,Erysipelothrix sepsis,rbRJLk5Hqjb
A26.8,Other forms of erysipeloid,gqgYWMUHadI
A26.9,"Erysipeloid, unspecified",fuUXP86MELV
A27,Leptospirosis,gJzBx5UygEl
A27.0,Leptospirosis icterohaemorrhagica,oB0bP6AmUeJ
A27.8,Other forms of leptospirosis,hS05rL08cXP
A27.9,"Leptospirosis, unspecified",FrF2cWZ8vKK
A28,"Other zoonotic bacterial diseases, not elsewhere classified",vPLCsCoQ8E4
A28.0,Pasteurellosis,LHc4TNtpN8P
A28.1,Cat-scratch disease,ilePkpd9350
A28.2,Extraintestinal yersiniosis,ylVj80lLLPZ
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",PIm9BdFeckZ
A28.9,"Zoonotic bacterial disease, unspecified",g5ZfAtEsxMb
A30,Leprosy [Hansen disease],AaRLvilTvuU
A30.0,Indeterminate leprosy,fWmAI58CmMh
A30.1,Tuberculoid leprosy,LBJU4ASf1Dx
A30.2,Borderline tuberculoid leprosy,qsFsh2eN10G
A30.3,Borderline leprosy,rAVnHTGGwTG
A30.4,Borderline lepromatous leprosy,fVRmXFm9wsz
A30.5,Lepromatous leprosy,PqfdTTa12Kg
A30.8,Other forms of leprosy,IxXgr7i43na
A30.9,"Leprosy, unspecified",flZ9J8s22fP
A31,Infection due to other mycobacteria,ZJXdDpnBcSO
A31.0,Pulmonary mycobacterial infection,gJ1PtT3sVEU
A31.1,Cutaneous mycobacterial infection,RLup08gsd7E
A31.8,Other mycobacterial infections,hc5X7jCZwyS
A31.9,"Mycobacterial infection, unspecified",H5i8CqUWxIc
A32,Listeriosis,PlxjjalwHVP
A32.0,Cutaneous listeriosis,fLYck5kxrXH
A32.1,Listerial meningitis and meningoencephalitis,NUSbqzo1ile
A32.7,Listerial sepsis,sR871I5nIMa
A32.8,Other forms of listeriosis,QYqu9dnJhsn
A32.9,"Listeriosis, unspecified",pmGp6Lp73s6
A33,Tetanus neonatorum,y3OqR30h4YV
A34,Obstetrical tetanus,UUoYX7peFtB
A35,Other tetanus,z4A9p45NqFm
A36,Diphtheria,bdIUfpSnhMB
A36.0,Pharyngeal diphtheria,m1SoeOucDjY
A36.1,Nasopharyngeal diphtheria,UlYqD6EMFO6
A36.2,Laryngeal diphtheria,tgO9cVkMqiW
A36.3,Cutaneous diphtheria,ltXvJ5GFmQt
A36.8,Other diphtheria,GfOdscAsMDe
A36.9,"Diphtheria, unspecified",gL6c639DNiQ
A37,Whooping cough,AeISfcIASAG
A37.0,Whooping cough due to Bordetella pertussis,hercrnZB1wE
A37.1,Whooping cough due to Bordetella parapertussis,vOpGyp9XlAT
A37.8,Whooping cough due to other Bordetella species,fwQC1KUnTZB
A37.9,"Whooping cough, unspecified",gFljtRvbFRM
A38,Scarlet fever,fQ3m354BZyG
A39,Meningococcal infection,MFRaGZyBBxz
A39.0,Meningococcal meningitis,VCgAM3QolQq
A39.1,Waterhouse-Friderichsen syndrome,FgZOb8GqjeU
A39.2,Acute meningococcaemia,PCcEgyR0G8W
A39.3,Chronic meningococcaemia,gl64sIaYPuR
A39.4,"Meningococcaemia, unspecified",GXJeMm3E4zu
A39.5,Meningococcal heart disease,BCKY2q5MDPA
A39.8,Other meningococcal infections,GnBQwdYJ3mA
A39.9,"Meningococcal infection, unspecified",VfNb4GmQx7A
A40,Streptococcal sepsis,ZJIIpTn1PPn
A40.0,"Sepsis due to streptococcus, group A",AWZKOh5rcoR
A40.1,"Sepsis due to streptococcus, group B",HFEgvXz8WL1
A40.2,"Sepsis due to streptococcus, group D",xTReca5fWwZ
A40.3,Sepsis due to Streptococcus pneumoniae,IKKCOKwNZfq
A40.8,Other streptococcal sepsis,vuBFr00scYc
A40.9,"Streptococcal sepsis, unspecified",qPsOMpTnVAr
A41,Other sepsis,qoQ3MuXg4qM
A41.0,Sepsis due to Staphylococcus aureus,pVPeSa9atM7
A41.1,Sepsis due to other specified staphylococcus,opspqeo9x5I
A41.2,Sepsis due to unspecified staphylococcus,LJ14axV9geH
A41.3,Sepsis due to Haemophilus influenzae,zUDolaOi6v1
A41.4,Sepsis due to anaerobes,HcaMCVAYtEd
A41.5,Sepsis due to other Gram-negative organisms,ArYlNMEERuN
A41.8,Other specified sepsis,qGnHVmbNi22
A41.9,"Sepsis, unspecified",RjtmKroiGMU
A42,Actinomycosis,yOxK7bQClCc
A42.0,Pulmonary actinomycosis,jPwUWJDO6uJ
A42.1,Abdominal actinomycosis,vp09COntyw3
A42.2,Cervicofacial actinomycosis,r6zNJOKDiUI
A42.7,Actinomycotic sepsis,O3mxxTtqBee
A42.8,Other forms of actinomycosis,RPcQ8pawSR4
A42.9,"Actinomycosis, unspecified",S0uWGte9rlu
A43,Nocardiosis,nyYWs2Vj9EV
A43.0,Pulmonary nocardiosis,NsS7OMgIkb5
A43.1,Cutaneous nocardiosis,YGfKHg68QGX
A43.8,Other forms of nocardiosis,yPgvDuqRNks
A43.9,"Nocardiosis, unspecified",O1Mcfk95M3g
A44,Bartonellosis,PPOCA4La69u
A44.0,Systemic bartonellosis,dqWUQmQA8p1
A44.1,Cutaneous and mucocutaneous bartonellosis,itXZYwRcPOc
A44.8,Other forms of bartonellosis,uRwOwYaLtZU
A44.9,"Bartonellosis, unspecified",MgLlZT81uxF
A46,Erysipelas,ZTclhhYYLVh
A48,"Other bacterial diseases, not elsewhere classified",kyeEtJp8Hh2
A48.0,Gas gangrene,kNfNjzQUL3z
A48.1,Legionnaires disease,TVuQ6p5aATe
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],RJ7Wyu5ilsY
A48.3,Toxic shock syndrome,EKryOmmc2W1
A48.4,Brazilian purpuric fever,H43nlENOCS7
A48.8,Other specified bacterial diseases,exAbp5EIAbS
A49,Bacterial infection of unspecified site,sEWJtsn17Li
A49.0,"Staphylococcal infection, unspecified site",G5gGIDN3tUc
A49.1,"Streptococcal and enterococcal infection, unspecified site",lRhwuSrKZfa
A49.2,"Haemophilus influenzae infection, unspecified site",kKLToIjQkFg
A49.3,"Mycoplasma infection, unspecified site",Qv2QLe0DfPl
A49.8,Other bacterial infections of unspecified site,nA3uZ89Qt0F
A49.9,"Bacterial infection, unspecified",or7N3qEP1qN
A50,Congenital syphilis,r9Ur632xokH
A50.0,"Early congenital syphilis, symptomatic",OJdHXvDDiPG
A50.1,"Early congenital syphilis, latent",dLC4YldVXrD
A50.2,"Early congenital syphilis, unspecified",oBoTO26cvot
A50.3,Late congenital syphilitic oculopathy,Rj6GvbLC6ZB
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],EbmpdaZPAOQ
A50.5,"Other late congenital syphilis, symptomatic",nbW2JgBrWYV
A50.6,"Late congenital syphilis, latent",eACF7BEm8bB
A50.7,"Late congenital syphilis, unspecified",b1Ylym1fQPh
A50.9,"Congenital syphilis, unspecified",BLMnh4yqm4v
A51,Early syphilis,hogJo2ULzbf
A51.0,Primary genital syphilis,duPGvuKxP4R
A51.1,Primary anal syphilis,vTKZYgBsZ42
A51.2,Primary syphilis of other sites,NW6gwZ6Jtge
A51.3,Secondary syphilis of skin and mucous membranes,c73wKeLu7wD
A51.4,Other secondary syphilis,WtUzSCPa3v2
A51.5,"Early syphilis, latent",OAHG52Pzr4g
A51.9,"Early syphilis, unspecified",ubQm3YAc1yr
A52,Late syphilis,RaTrAvIEWbz
A52.0,Cardiovascular syphilis,to7skb39esb
A52.1,Symptomatic neurosyphilis,WVpayqgIoTY
A52.2,Asymptomatic neurosyphilis,uJuSD39oLWS
A52.3,"Neurosyphilis, unspecified",osc68aG8NUz
A52.7,Other symptomatic late syphilis,wNAk1EoINUS
A52.8,"Late syphilis, latent",dpLSxe2MgI7
A52.9,"Late syphilis, unspecified",g5aX8kjyRY4
A53,Other and unspecified syphilis,rlVhGv77BJq
A53.0,"Latent syphilis, unspecified as early or late",LI7EVUsuw8R
A53.9,"Syphilis, unspecified",OGyYmtRvezI
A54,Gonococcal infection,BQhX5BT3tz2
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,jpFrFk3Hv64
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,UtmsEPOPNic
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,FjLJkKuhNDH
A54.3,Gonococcal infection of eye,wjBVCwCzn9c
A54.4,Gonococcal infection of musculoskeletal system,FcqL66iEkUg
A54.5,Gonococcal pharyngitis,vtJhCdFfT6Z
A54.6,Gonococcal infection of anus and rectum,smxA1Bs7FYF
A54.8,Other gonococcal infections,fAIuPT6ujBI
A54.9,"Gonococcal infection, unspecified",cdybEBfCh0b
A55,Chlamydial lymphogranuloma (venereum),AEsHiahpPXw
A56,Other sexually transmitted chlamydial diseases,nGVGKM4QHgl
A56.0,Chlamydial infection of lower genitourinary tract,N5GZNprByhf
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,c9la2rmymGP
A56.2,"Chlamydial infection of genitourinary tract, unspecified",UXQPY7fXnuk
A56.3,Chlamydial infection of anus and rectum,TscoZNaXIyk
A56.4,Chlamydial infection of pharynx,aNzFpOyo6WY
A56.8,Sexually transmitted chlamydial infection of other sites,Ur4tIJsUYpW
A57,Chancroid,YDGoSeaobeT
A58,Granuloma inguinale,esbXwd2CKZn
A59,Trichomoniasis,f8yBiKUHEE8
A59.0,Urogenital trichomoniasis,t08z9xuMh7d
A59.8,Trichomoniasis of other sites,nxn0S1L5MX2
A59.9,"Trichomoniasis, unspecified",SexXyqzacGj
A60,Anogenital herpesviral [herpes simplex] infection,c0X1cmnpzG8
A60.0,Herpesviral infection of genitalia and urogenital tract,OqPxpL0zWpf
A60.1,Herpesviral infection of perianal skin and rectum,A25HB7bSz3K
A60.9,"Anogenital herpesviral infection, unspecified",pQwc8mZy9of
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",sgDWGyOsVid
A63.0,Anogenital (venereal) warts,TPYBMVlRaBL
A63.8,Other specified predominantly sexually transmitted diseases,meDMVHTriEd
A64,Unspecified sexually transmitted disease,NOuXZZTtOkc
A65,Nonvenereal syphilis,nFkJjaX8AK8
A66,Yaws,ThVI5OQ0SZK
A66.0,Initial lesions of yaws,t3h2Xt6WC6K
A66.1,Multiple papillomata and wet crab yaws,bbdZfVVqTUk
A66.2,Other early skin lesions of yaws,JZV1ECZw9er
A66.3,Hyperkeratosis of yaws,I5PNBtxGH6B
A66.4,Gummata and ulcers of yaws,klZGLPfVqD1
A66.5,Gangosa,vbL1e8hjg2x
A66.6,Bone and joint lesions of yaws,Va6Ydo7nlA2
A66.7,Other manifestations of yaws,TokBfZlAM6z
A66.8,Latent yaws,HaawHo8RLax
A66.9,"Yaws, unspecified",wcufsMpLtDs
A67,Pinta [carate],wQpV6A45GEk
A67.0,Primary lesions of pinta,BoGDdnymhQg
A67.1,Intermediate lesions of pinta,LnkZHtTyfDk
A67.2,Late lesions of pinta,WWMn1Oo8ftz
A67.3,Mixed lesions of pinta,EBGLo8HrtzL
A67.9,"Pinta, unspecified",QcITMH05e49
A68,Relapsing fevers,sl5KOycajDw
A68.0,Louse-borne relapsing fever,RBdNvls95U3
A68.1,Tick-borne relapsing fever,mmpQmDnIIQY
A68.9,"Relapsing fever, unspecified",Nr2pyGlh0Rl
A69,Other spirochaetal infections,YmF4ECt8cBK
A69.0,Necrotizing ulcerative stomatitis,iTutSgSkdMm
A69.1,Other Vincent infections,daREj1i8IrD
A69.2,Lyme disease,jMLfERR6xgC
A69.8,Other specified spirochaetal infections,MV70vpE9M2u
A69.9,"Spirochaetal infection, unspecified",uxofThs1pCl
A70,Chlamydia psittaci infection,C3MH4TEHWl9
A71,Trachoma,Tml0CiXP3ee
A71.0,Initial stage of trachoma,DvegFlwkGGQ
A71.1,Active stage of trachoma,E8zap0VItL8
A71.9,"Trachoma, unspecified",OUt9K4VKBic
A74,Other diseases caused by chlamydiae,ZifEN4BkkX5
A74.0,Chlamydial conjunctivitis,rpmQLLeTbwp
A74.8,Other chlamydial diseases,PcSugoqK4uM
A74.9,"Chlamydial infection, unspecified",LY5fAE6YfkT
A75,Typhus fever,ZgiFUIHDodc
A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,R847qpy7QL2
A75.1,Recrudescent typhus [Brill disease],uNe8d4jxWNt
A75.2,Typhus fever due to Rickettsia typhi,QTLEzf2D6Bq
A75.3,Typhus fever due to Rickettsia tsutsugamushi,iCBizcaC2JR
A75.9,"Typhus fever, unspecified",lkBziHjRued
A77,Spotted fever [tick-borne rickettsioses],fUEMnsUPOkc
A77.0,Spotted fever due to Rickettsia rickettsii,D6HPGPpHe1T
A77.1,Spotted fever due to Rickettsia conorii,irRzGksO1ur
A77.2,Spotted fever due to Rickettsia sibirica,MCRuJwnHn4J
A77.3,Spotted fever due to Rickettsia australis,RVoGCWIfIEn
A77.8,Other spotted fevers,HAE8HgA29og
A77.9,"Spotted fever, unspecified",nuIeO45yEa9
A78,Q fever,Sy3uSoJjE8P
A79,Other rickettsioses,D7OSN7JRYri
A79.0,Trench fever,DKVI2UhStpI
A79.1,Rickettsialpox due to Rickettsia akari,z83e1rgNR80
A79.8,Other specified rickettsioses,uHqY8EdxnSI
A79.9,"Rickettsiosis, unspecified",kKATkFdkQMG
A80,Acute poliomyelitis,AlKBdz84hUS
A80.0,"Acute paralytic poliomyelitis, vaccine-associated",IOyltdRdq9L
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",Ns6bAPhJwUV
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",D43oCGgXLbG
A80.3,"Acute paralytic poliomyelitis, other and unspecified",DDyrhOkdAnj
A80.4,Acute nonparalytic poliomyelitis,Lrl9GFG1nua
A80.9,"Acute poliomyelitis, unspecified",unkeG96hU7w
A81,Atypical virus infections of central nervous system,cBW0Hv5qjTv
A81.0,Creutzfeldt-Jakob disease,cdEXyEZvwa6
A81.1,Subacute sclerosing panencephalitis,qLMQKgSdDdZ
A81.2,Progressive multifocal leukoencephalopathy,EszlXCSeUxQ
A81.8,Other atypical virus infections of central nervous system,gKdfwc7mtip
A81.9,"Atypical virus infection of central nervous system, unspecified",e3ISFEea9KV
A82,Rabies,wkGOSZgBFQv
A82.0,Sylvatic rabies,C5pBB3cmvIw
A82.1,Urban rabies,y4PmzNtleJg
A82.9,"Rabies, unspecified",QcV9hrxfZH4
A83,Mosquito-borne viral encephalitis,hXI7C3df2W8
A83.0,Japanese encephalitis,zYeRfwOkAdX
A83.1,Western equine encephalitis,HJafWSdzZWM
A83.2,Eastern equine encephalitis,GJWNGuLWIsA
A83.3,St Louis encephalitis,U2NERamNff0
A83.4,Australian encephalitis,suDKYPPnoMK
A83.5,California encephalitis,kTRWlkD7XiA
A83.6,Rocio virus disease,fhzCVuGotcS
A83.8,Other mosquito-borne viral encephalitis,qxkUxCwXJhX
A83.9,"Mosquito-borne viral encephalitis, unspecified",CPSZ5PPCxdj
A84,Tick-borne viral encephalitis,AHxFnaBSp3D
A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],UngisD0WP0j
A84.1,Central European tick-borne encephalitis,UBiN1wqWMAo
A84.8,Other tick-borne viral encephalitis,pN3pggOrsn0
A84.9,"Tick-borne viral encephalitis, unspecified",Y5USsxubPMf
A85,"Other viral encephalitis, not elsewhere classified",Pza3LSwK3T0
A85.0,Enteroviral encephalitis,gI5o0jGHj2F
A85.1,Adenoviral encephalitis,iwJcO3FBh6c
A85.2,"Arthropod-borne viral encephalitis, unspecified",BBKJwPBjqd5
A85.8,Other specified viral encephalitis,NyCcjAbqzKT
A86,Unspecified viral encephalitis,Y7NcuAKKqo7
A87,Viral meningitis,EkyfBPCW06H
A87.0,Enteroviral meningitis,UbTKLc18ch2
A87.1,Adenoviral meningitis,jOL0ghMRSMs
A87.2,Lymphocytic choriomeningitis,wklOQS4yi5y
A87.8,Other viral meningitis,VOnjcl55ytC
A87.9,"Viral meningitis, unspecified",K0SS4vBSSYv
A88,"Other viral infections of central nervous system, not elsewhere classified",CK80TXXzeh3
A88.0,Enteroviral exanthematous fever [Boston exanthem],qbmIbRq1IAf
A88.1,Epidemic vertigo,fhnHDBZrdLl
A88.8,Other specified viral infections of central nervous system,IaTJKIQSDXx
A89,Unspecified viral infection of central nervous system,GdNT1GeU3To
A92,Other mosquito-borne viral fevers,lixsEanWSEg
A92.0,Chikungunya virus disease,I3iHM7PjRD9
A92.1,O'nyong-nyong fever,Jb6VjJMVvkM
A92.2,Venezuelan equine fever,Wo2QGgeD2Nj
A92.3,West Nile virus infection,LmrbORY2VDp
A92.4,Rift Valley fever,bhKfS2b61qk
A92.8,Other specified mosquito-borne viral fevers,OuxhOexzbFN
A92.9,"Mosquito-borne viral fever, unspecified",gmXhzJIu2zA
A93,"Other arthropod-borne viral fevers, not elsewhere classified",zvumWHjsELK
A93.0,Oropouche virus disease,D4TEuZuAxWf
A93.1,Sandfly fever,M1voIBiqIF2
A93.2,Colorado tick fever,VMpNvozY8mF
A93.8,Other specified arthropod-borne viral fevers,PExNyL7hOFT
A94,Unspecified arthropod-borne viral fever,oWWmG5pMAch
A95,Yellow fever,Ed8NQzd6j0Z
A95.0,Sylvatic yellow fever,JeIKHGQi9gb
A95.1,Urban yellow fever,lt9VL06vQtt
A95.9,"Yellow fever, unspecified",G7i33CPBfJF
A96,Arenaviral haemorrhagic fever,KetmFzn5uyq
A96.0,Junin haemorrhagic fever,rVEKRysHxvq
A96.1,Machupo haemorrhagic fever,U9hxxGs9o1A
A96.2,Lassa fever,mRenG20QYRv
A96.8,Other arenaviral haemorrhagic fevers,CKWUJhXwi2K
A96.9,"Arenaviral haemorrhagic fever, unspecified",YAKC1hOUj4D
A97,Dengue,u701nZydE6H
A97.0,Dengue without warning signs,TnVdg1UYV3K
A97.1,Dengue with warning signs,qrS8fMvLoqJ
A97.2,Severe Dengue,B3FmmM1EqBR
A97.9,"Dengue, unspecified",ZJaTMUj7AVS
